Time	UI (ID 01) / Voltage U	UI (ID 03) / Voltage U
t/s	U/V	U/V

0.00	-0.37	-0.15
0.00	-0.37	-0.14
0.00	-0.37	-0.15
0.00	-0.37	-0.14
0.00	-0.37	-0.14
0.00	-0.37	-0.14
0.00	-0.37	-0.15
0.00	-0.37	-0.14
0.00	-0.37	-0.14
0.00	-0.37	-0.15
0.00	-0.37	-0.15
0.01	-0.39	-0.15
0.01	-0.37	-0.15
0.01	-0.37	-0.14
0.01	-0.37	-0.17
0.01	-0.39	-0.14
0.01	-0.37	-0.15
0.01	-0.37	-0.15
0.01	-0.37	-0.15
0.01	-0.37	-0.14
0.01	-0.37	-0.15
0.01	-0.37	-0.15
0.01	-0.37	-0.11
0.01	-0.36	-0.15
0.01	-0.36	-0.14
0.01	-0.37	-0.14
0.01	-0.37	-0.14
0.01	-0.37	-0.14
0.01	-0.37	-0.14
0.01	-0.37	-0.14
0.01	-0.37	-0.14
0.02	-0.37	-0.14
0.02	-0.39	-0.15
0.02	-0.37	-0.15
0.02	-0.37	-0.15
0.02	-0.36	-0.14
0.02	-0.37	-0.14
0.02	-0.37	-0.15
0.02	-0.37	-0.14
0.02	-0.37	-0.15
0.02	-0.37	-0.15
0.02	-0.37	-0.15
0.02	-0.36	-0.15
0.02	-0.36	-0.17
0.02	-0.37	-0.15
0.02	-0.37	-0.15
0.02	-0.37	-0.14
0.02	-0.37	-0.15
0.02	-0.36	-0.14
0.02	-0.37	-0.15
0.03	-0.37	-0.14
0.03	-0.37	-0.14
0.03	-0.36	-0.15
0.03	-0.37	-0.14
0.03	-0.37	-0.15
0.03	-0.37	-0.15
0.03	-0.37	-0.15
0.03	-0.37	-0.15
0.03	-0.36	-0.15
0.03	-0.37	-0.15
0.03	-0.37	-0.15
0.03	-0.37	-0.14
0.03	-0.37	-0.17
0.03	-0.36	-0.15
0.03	-0.37	-0.15
0.03	-0.36	-0.15
0.03	-0.36	-0.17
0.03	-0.36	-0.15
0.03	-0.36	-0.15
0.03	-0.34	-0.15
0.04	-0.37	-0.11
0.04	-0.36	-0.15
0.04	-0.36	-0.15
0.04	-0.36	-0.15
0.04	-0.37	-0.15
0.04	-0.36	-0.15
0.04	-0.36	-0.14
0.04	-0.34	-0.15
0.04	-0.37	-0.14
0.04	-0.36	-0.15
0.04	-0.36	-0.14
0.04	-0.36	-0.15
0.04	-0.37	-0.15
0.04	-0.36	-0.15
0.04	-0.37	-0.15
0.04	-0.37	-0.17
0.04	-0.37	-0.15
0.04	-0.36	-0.15
0.04	-0.37	-0.15
0.04	-0.36	-0.17
0.05	-0.37	-0.15
0.05	-0.36	-0.15
0.05	-0.36	-0.15
0.05	-0.36	-0.17
0.05	-0.36	-0.15
