Time (s)	Signal (V)
0.000000	0.117643
0.000001	-0.425466
0.000002	-0.967931
0.000003	-1.485102
0.000004	-1.836810
0.000005	-1.996634
0.000006	-1.913339
0.000007	-1.563563
0.000008	-0.963259
0.000009	-0.182187
0.000010	0.659142
0.000011	1.404612
0.000012	1.888115
0.000013	1.977534
0.000014	1.615188
0.000015	0.852155
0.000016	-0.145454
0.000017	-1.125821
0.000018	-1.811838
0.000019	-1.987290
0.000020	-1.572747
0.000021	-0.669229
0.000022	0.454851
0.000023	1.443118
0.000024	1.964000
0.000025	1.833336
0.000026	1.082547
0.000027	-0.039281
0.000028	-1.149505
0.000029	-1.867261
0.000030	-1.947978
0.000031	-1.370229
0.000032	-0.337177
0.000033	0.799310
0.000034	1.666422
0.000035	1.996223
0.000036	1.704123
0.000037	0.903228
0.000038	-0.148354
0.000039	-1.140643
0.000040	-1.807166
0.000041	-1.995507
0.000042	-1.690681
0.000043	-1.001442
0.000044	-0.112264
0.000045	0.773693
0.000046	1.481947
0.000047	1.901004
0.000048	1.988167
0.000049	1.767924
0.000050	1.308589
0.000051	0.701676
0.000052	0.042564
0.000053	-0.543239
0.000054	-1.090538
0.000055	-1.518291
0.000056	-1.809260
0.000057	-1.965217
0.000058	-2.000340
0.000059	-1.934928
0.000060	-1.793954
0.000061	-1.600136
0.000062	-1.374095
0.000063	-1.133232
0.000064	-0.890436
0.000065	-0.655696
0.000066	-0.434489
0.000067	-0.232132
0.000068	-0.048303
0.000069	0.114743
0.000070	0.259261
0.000071	0.386056
0.000072	0.497224
0.000073	0.594213
0.000074	0.679925
0.000075	0.756776
0.000076	0.826860
0.000077	0.891628
0.000078	0.953817
0.000079	1.015362
0.000080	1.077713
0.000081	1.142320
0.000082	1.210793
0.000083	1.284099
0.000084	1.362723
0.000085	1.446663
0.000086	1.535436
0.000087	1.627433
0.000088	1.719590
0.000089	1.809008
0.000090	1.887632
0.000091	1.952400
0.000092	1.990906
0.000093	1.993806
0.000094	1.947727
0.000095	1.841070
0.000096	1.661750
0.000097	1.399779
0.000098	1.051291
0.000099	0.618380
0.000100	0.117159
0.000101	-0.425305
0.000102	-0.967287
0.000103	-1.485102
0.000104	-1.836810
0.000105	-1.996473
0.000106	-1.913822
0.000107	-1.563402
0.000108	-0.963581
0.000109	-0.182670
0.000110	0.659303
0.000111	1.404290
0.000112	1.888115
0.000113	1.977695
0.000114	1.615510
0.000115	0.852316
0.000116	-0.144809
0.000117	-1.125821
0.000118	-1.811838
0.000119	-1.987612
0.000120	-1.572586
0.000121	-0.669068
0.000122	0.455173
0.000123	1.443118
0.000124	1.963839
0.000125	1.833175
0.000126	1.082385
0.000127	-0.039281
0.000128	-1.149666
0.000129	-1.867422
0.000130	-1.948301
0.000131	-1.370873
0.000132	-0.337499
0.000133	0.798988
0.000134	1.666583
0.000135	1.996545
0.000136	1.704284
0.000137	0.903550
0.000138	-0.148192
0.000139	-1.140482
0.000140	-1.806843
0.000141	-1.995829
0.000142	-1.690842
0.000143	-1.001926
0.000144	-0.112264
0.000145	0.773532
0.000146	1.482108
0.000147	1.901004
0.000148	1.988651
0.000149	1.768085
0.000150	1.308589
0.000151	0.702159
0.000152	0.042564
0.000153	-0.543078
0.000154	-1.090538
0.000155	-1.517969
0.000156	-1.809421
0.000157	-1.965217
0.000158	-1.999696
0.000159	-1.934767
0.000160	-1.794277
0.000161	-1.599975
0.000162	-1.374095
0.000163	-1.132749
0.000164	-0.890275
0.000165	-0.655535
0.000166	-0.434489
0.000167	-0.232132
0.000168	-0.048464
0.000169	0.114904
0.000170	0.258938
0.000171	0.385895
0.000172	0.496901
0.000173	0.594213
0.000174	0.680248
0.000175	0.756937
0.000176	0.826538
0.000177	0.891628
0.000178	0.953978
0.000179	1.015524
0.000180	1.077713
0.000181	1.142803
0.000182	1.211276
0.000183	1.284260
0.000184	1.362884
0.000185	1.446985
0.000186	1.535275
0.000187	1.627433
0.000188	1.719751
0.000189	1.809330
0.000190	1.888760
0.000191	1.952561
0.000192	1.991551
0.000193	1.993806
0.000194	1.948211
0.000195	1.841231
0.000196	1.661750
0.000197	1.399779
0.000198	1.051291
0.000199	0.619186
0.000200	0.117643
0.000201	-0.424983
0.000202	-0.967126
0.000203	-1.484296
0.000204	-1.835522
0.000205	-1.995507
0.000206	-1.912695
0.000207	-1.562758
0.000208	-0.963581
0.000209	-0.182348
