1_1_2025,Exp 1
Signal,Time
V,s
0.117643,0
-0.425466,0
-0.967931,0
-1.485102,0
-1.83681,0
-1.996634,0
-1.913339,0
-1.563563,0
-0.963259,0
-0.182187,0
0.659142,0.00001
1.404612,0.00001
1.888115,0.00001
1.977534,0.00001
1.615188,0.00001
0.852155,0.00001
-0.145454,0.00001
-1.125821,0.00001
-1.811838,0.00001
-1.98729,0.00001
-1.572747,0.00002
-0.669229,0.00002
0.454851,0.00002
1.443118,0.00002
1.964,0.00002
1.833336,0.00002
1.082547,0.00002
-0.039281,0.00002
-1.149505,0.00002
-1.867261,0.00002
-1.947978,0.00003
-1.370229,0.00003
-0.337177,0.00003
0.79931,0.00003
1.666422,0.00003
1.996223,0.00003
1.704123,0.00003
0.903228,0.00003
-0.148354,0.00003
-1.140643,0.00003
-1.807166,0.00004
-1.995507,0.00004
-1.690681,0.00004
-1.001442,0.00004
-0.112264,0.00004
0.773693,0.00004
1.481947,0.00004
1.901004,0.00004
1.988167,0.00004
1.767924,0.00004
1.308589,0.00005
0.701676,0.00005
0.042564,0.00005
-0.543239,0.00005
-1.090538,0.00005
-1.518291,0.00005
-1.80926,0.00005
-1.965217,0.00005
-2.00034,0.00005
-1.934928,0.00005
-1.793954,0.00006
-1.600136,0.00006
-1.374095,0.00006
-1.133232,0.00006
-0.890436,0.00006
-0.655696,0.00006
-0.434489,0.00006
-0.232132,0.00006
-0.048303,0.00006
0.114743,0.00006
0.259261,0.00007
0.386056,0.00007
0.497224,0.00007
0.594213,0.00007
0.679925,0.00007
0.756776,0.00007
0.82686,0.00007
0.891628,0.00007
0.953817,0.00007
1.015362,0.00007
1.077713,0.00008
1.14232,0.00008
1.210793,0.00008
1.284099,0.00008
1.362723,0.00008
1.446663,0.00008
1.535436,0.00008
1.627433,0.00008
1.71959,0.00008
1.809008,0.00008
1.887632,0.00009
1.9524,0.00009
1.990906,0.00009
1.993806,0.00009
1.947727,0.00009
1.84107,0.00009
1.66175,0.00009
1.399779,0.00009
1.051291,0.00009
0.61838,0.00009
0.117159,0.0001
-0.425305,0.0001
-0.967287,0.0001
-1.485102,0.0001
-1.83681,0.0001
-1.996473,0.0001
-1.913822,0.0001
-1.563402,0.0001
-0.963581,0.0001
-0.18267,0.0001
0.659303,0.00011
1.40429,0.00011
1.888115,0.00011
1.977695,0.00011
1.61551,0.00011
0.852316,0.00011
-0.144809,0.00011
-1.125821,0.00011
-1.811838,0.00011
-1.987612,0.00011
-1.572586,0.00012
-0.669068,0.00012
0.455173,0.00012
1.443118,0.00012
1.963839,0.00012
1.833175,0.00012
1.082385,0.00012
-0.039281,0.00012
-1.149666,0.00012
-1.867422,0.00012
-1.948301,0.00013
-1.370873,0.00013
-0.337499,0.00013
0.798988,0.00013
1.666583,0.00013
1.996545,0.00013
1.704284,0.00013
0.90355,0.00013
-0.148192,0.00013
-1.140482,0.00013
-1.806843,0.00014
-1.995829,0.00014
-1.690842,0.00014
-1.001926,0.00014
-0.112264,0.00014
0.773532,0.00014
1.482108,0.00014
1.901004,0.00014
1.988651,0.00014
1.768085,0.00014
1.308589,0.00015
0.702159,0.00015
0.042564,0.00015
-0.543078,0.00015
-1.090538,0.00015
-1.517969,0.00015
-1.809421,0.00015
-1.965217,0.00015
-1.999696,0.00015
-1.934767,0.00015
-1.794277,0.00016
-1.599975,0.00016
-1.374095,0.00016
-1.132749,0.00016
-0.890275,0.00016
-0.655535,0.00016
-0.434489,0.00016
-0.232132,0.00016
-0.048464,0.00016
0.114904,0.00016
0.258938,0.00017
0.385895,0.00017
0.496901,0.00017
0.594213,0.00017
0.680248,0.00017
0.756937,0.00017
0.826538,0.00017
0.891628,0.00017
0.953978,0.00017
1.015524,0.00017
1.077713,0.00018
1.142803,0.00018
1.211276,0.00018
1.28426,0.00018
1.362884,0.00018
1.446985,0.00018
1.535275,0.00018
1.627433,0.00018
1.719751,0.00018
1.80933,0.00018
1.88876,0.00019
1.952561,0.00019
1.991551,0.00019
1.993806,0.00019
1.948211,0.00019
1.841231,0.00019
1.66175,0.00019
1.399779,0.00019
1.051291,0.00019
0.619186,0.00019
0.117643,0.0002
-0.424983,0.0002
-0.967126,0.0002
-1.484296,0.0002
-1.835522,0.0002
-1.995507,0.0002
-1.912695,0.0002
-1.562758,0.0002
-0.963581,0.0002
-0.182348,0.0002
0.658981,0.00021
1.404129,0.00021
1.888115,0.00021
1.977534,0.00021
1.615671,0.00021
0.852477,0.00021
-0.14497,0.00021
-1.125177,0.00021
-1.811677,0.00021
-1.987773,0.00021
-1.572908,0.00022
-0.669229,0.00022
0.455012,0.00022
1.442635,0.00022
1.964161,0.00022
1.833336,0.00022
1.082547,0.00022
-0.039281,0.00022
-1.149344,0.00022
-1.867261,0.00022
-1.948139,0.00023
-1.370229,0.00023
-0.337821,0.00023
0.798988,0.00023
1.666583,0.00023
1.996706,0.00023
1.704123,0.00023
0.903067,0.00023
-0.148031,0.00023
-1.140643,0.00023
-1.806843,0.00024
-1.995507,0.00024
-1.691003,0.00024
-1.001604,0.00024
-0.112426,0.00024
0.773693,0.00024
1.481947,0.00024
1.901004,0.00024
1.988328,0.00024
1.768085,0.00024
1.308911,0.00025
0.702159,0.00025
0.042726,0.00025
-0.543239,0.00025
-1.091182,0.00025
-1.518774,0.00025
-1.80926,0.00025
-1.964895,0.00025
-2.000018,0.00025
-1.934928,0.00025
-1.793793,0.00026
-1.600136,0.00026
-1.374095,0.00026
-1.13291,0.00026
-0.890114,0.00026
-0.655374,0.00026
-0.434489,0.00026
-0.231971,0.00026
-0.048303,0.00026
0.114743,0.00026
0.259099,0.00027
0.386056,0.00027
0.49674,0.00027
0.594213,0.00027
0.680087,0.00027
0.756615,0.00027
0.826699,0.00027
0.891305,0.00027
0.954139,0.00027
1.015524,0.00027
1.077391,0.00028
1.14232,0.00028
1.210954,0.00028
1.283938,0.00028
1.362884,0.00028
1.446824,0.00028
1.535275,0.00028
1.627594,0.00028
1.720234,0.00028
1.808525,0.00028
1.889243,0.00029
1.952722,0.00029
1.99139,0.00029
1.99429,0.00029
1.948372,0.00029
1.841875,0.00029
1.662233,0.00029
1.400584,0.00029
1.051452,0.00029
0.619347,0.00029
0.117643,0.0003
-0.425466,0.0003
-0.967287,0.0003
-1.484296,0.0003
-1.836005,0.0003
-1.995829,0.0003
-1.912695,0.0003
-1.562436,0.0003
-0.962937,0.0003
-0.182187,0.0003
0.658659,0.00031
1.40429,0.00031
1.888437,0.00031
1.977534,0.00031
1.615671,0.00031
0.852799,0.00031
-0.145131,0.00031
-1.125499,0.00031
-1.811999,0.00031
-1.98729,0.00031
-1.573069,0.00032
-0.669551,0.00032
0.455012,0.00032
1.442796,0.00032
1.964,0.00032
1.833659,0.00032
1.082385,0.00032
-0.039119,0.00032
-1.149182,0.00032
-1.866616,0.00032
-1.948462,0.00033
-1.37039,0.00033
-0.337821,0.00033
0.798988,0.00033
1.666744,0.00033
1.996384,0.00033
1.704606,0.00033
0.90355,0.00033
-0.148031,0.00033
-1.140321,0.00033
-1.807327,0.00034
-1.995507,0.00034
-1.691003,0.00034
-1.001765,0.00034
-0.112587,0.00034
0.773693,0.00034
1.482108,0.00034
1.901004,0.00034
1.988328,0.00034
1.767924,0.00034
1.309072,0.00035
0.702159,0.00035
0.043048,0.00035
-0.543239,0.00035
-1.090699,0.00035
-1.518452,0.00035
-1.80926,0.00035
-1.964412,0.00035
-1.999696,0.00035
-1.934767,0.00035
-1.793954,0.00036
-1.600458,0.00036
-1.374579,0.00036
-1.133071,0.00036
-0.890436,0.00036
-0.655535,0.00036
-0.43465,0.00036
-0.231971,0.00036
-0.048303,0.00036
0.114904,0.00036
0.259099,0.00037
0.386056,0.00037
0.496901,0.00037
0.59373,0.00037
0.680087,0.00037
0.75726,0.00037
0.826538,0.00037
0.891628,0.00037
0.954139,0.00037
1.015524,0.00037
1.077713,0.00038
1.142803,0.00038
1.211115,0.00038
1.284099,0.00038
1.362723,0.00038
1.446341,0.00038
1.535598,0.00038
1.627271,0.00038
1.719912,0.00038
1.808847,0.00038
1.888921,0.00039
1.952722,0.00039
1.991551,0.00039
1.993967,0.00039
1.948533,0.00039
1.841553,0.00039
1.662555,0.00039
1.39994,0.00039
1.051613,0.00039
0.619025,0.00039
0.117804,0.0004
-0.425628,0.0004
-0.966803,0.0004
-1.484135,0.0004
-1.835844,0.0004
-1.995668,0.0004
-1.912533,0.0004
-1.562597,0.0004
-0.963098,0.0004
-0.182348,0.0004
0.658497,0.00041
1.403484,0.00041
1.887148,0.00041
1.976406,0.00041
1.614705,0.00041
0.852799,0.00041
-0.145131,0.00041
-1.125338,0.00041
-1.811838,0.00041
-1.987934,0.00041
-1.57323,0.00042
-0.669713,0.00042
0.45469,0.00042
1.442957,0.00042
1.964322,0.00042
1.833497,0.00042
1.082708,0.00042
-0.039119,0.00042
-1.149021,0.00042
-1.867261,0.00042
-1.948462,0.00043
-1.370551,0.00043
-0.337821,0.00043
0.798827,0.00043
1.666422,0.00043
1.995901,0.00043
1.704445,0.00043
0.90355,0.00043
-0.14787,0.00043
-1.140321,0.00043
-1.807005,0.00044
-1.995668,0.00044
-1.691165,0.00044
-1.001765,0.00044
-0.112264,0.00044
0.773532,0.00044
1.482108,0.00044
1.900521,0.00044
1.988328,0.00044
1.768246,0.00044
1.308589,0.00045
0.70232,0.00045
0.043048,0.00045
-0.543401,0.00045
-1.090699,0.00045
-1.518291,0.00045
-1.809099,0.00045
-1.965217,0.00045
-1.999857,0.00045
-1.934767,0.00045
-1.793632,0.00046
-1.599814,0.00046
-1.374417,0.00046
-1.133232,0.00046
-0.890436,0.00046
-0.655696,0.00046
-0.434489,0.00046
-0.231971,0.00046
-0.048625,0.00046
0.114743,0.00046
0.259422,0.00047
0.385734,0.00047
0.496579,0.00047
0.594213,0.00047
0.679764,0.00047
0.756776,0.00047
0.826538,0.00047
0.891467,0.00047
0.954301,0.00047
