,time,voltage
0,0.000000,0.102141
1,0.010000,0.104050
2,0.020000,0.107261
3,0.030000,0.110550
4,0.040000,0.111050
5,0.050000,0.113050
6,0.060000,0.112550
7,0.070000,0.113050
8,0.080000,0.113550
9,0.090000,0.113050
10,0.100000,0.114050
11,0.110000,0.113577
12,0.120000,0.117050
13,0.130000,0.118050
14,0.140000,0.119717
15,0.150000,0.122524
16,0.160000,0.121550
17,0.170000,0.123050
18,0.180000,0.121998
19,0.190000,0.125431
20,0.200000,0.125050
21,0.210000,0.130419
22,0.220000,0.130669
23,0.230000,0.130050
24,0.240000,0.131471
25,0.250000,0.129241
26,0.260000,0.130050
27,0.270000,0.128840
28,0.280000,0.128765
29,0.290000,0.128550
30,0.300000,0.130419
31,0.310000,0.128765
32,0.320000,0.126550
33,0.330000,0.122524
34,0.340000,0.125431
35,0.350000,0.121550
36,0.360000,0.124629
37,0.370000,0.120050
38,0.380000,0.120193
39,0.390000,0.116735
40,0.400000,0.114050
41,0.410000,0.114955
42,0.420000,0.113050
43,0.430000,0.113050
44,0.440000,0.113527
45,0.450000,0.113050
46,0.460000,0.113050
47,0.470000,0.113050
48,0.480000,0.113050
49,0.490000,0.112550
50,0.500000,0.112098
51,0.510000,0.110550
52,0.520000,0.104050
53,0.530000,0.105156
54,0.540000,0.099050
55,0.550000,0.097550
56,0.560000,0.092098
57,0.570000,0.085050
58,0.580000,0.084550
59,0.590000,0.079366
60,0.600000,0.078050
61,0.610000,0.075050
62,0.620000,0.072050
63,0.630000,0.067812
64,0.640000,0.063050
65,0.650000,0.054550
66,0.660000,0.048840
67,0.670000,0.046550
68,0.680000,0.045050
69,0.690000,0.040193
70,0.700000,0.036550
71,0.710000,0.027050
72,0.720000,0.023050
73,0.730000,0.018050
74,0.740000,0.013550
75,0.750000,0.014479
76,0.760000,0.009050
77,0.770000,0.001550
78,0.780000,-0.004844
79,0.790000,-0.010450
80,0.800000,-0.014950
81,0.810000,-0.018854
82,0.820000,-0.023950
83,0.830000,-0.031450
84,0.840000,-0.032213
85,0.850000,-0.040450
86,0.860000,-0.040450
87,0.870000,-0.044450
88,0.880000,-0.048854
89,0.890000,-0.050450
90,0.900000,-0.055950
91,0.910000,-0.066950
92,0.920000,-0.066950
93,0.930000,-0.074450
94,0.940000,-0.075997
95,0.950000,-0.079950
96,0.960000,-0.081950
97,0.970000,-0.088529
98,0.980000,-0.097450
99,0.990000,-0.096950
100,1.000000,-0.100283
101,1.010000,-0.101950
102,1.020000,-0.104950
103,1.030000,-0.111450
104,1.040000,-0.114450
105,1.050000,-0.121950
106,1.060000,-0.123265
107,1.070000,-0.126450
108,1.080000,-0.127950
109,1.090000,-0.128450
110,1.100000,-0.128950
111,1.110000,-0.131450
112,1.120000,-0.133450
113,1.130000,-0.135045
114,1.140000,-0.136950
115,1.150000,-0.138950
116,1.160000,-0.138950
117,1.170000,-0.137950
118,1.180000,-0.140450
119,1.190000,-0.142213
120,1.200000,-0.141450
121,1.210000,-0.141950
122,1.220000,-0.144950
123,1.230000,-0.146450
124,1.240000,-0.147950
125,1.250000,-0.145045
126,1.260000,-0.143950
127,1.270000,-0.145950
128,1.280000,-0.141450
129,1.290000,-0.138950
130,1.300000,-0.138450
131,1.310000,-0.140108
132,1.320000,-0.136950
133,1.330000,-0.136450
134,1.340000,-0.136450
135,1.350000,-0.136450
136,1.360000,-0.134450
137,1.370000,-0.134450
138,1.380000,-0.130283
139,1.390000,-0.129450
140,1.400000,-0.126950
141,1.410000,-0.126950
142,1.420000,-0.124950
143,1.430000,-0.126950
144,1.440000,-0.123792
145,1.450000,-0.116950
146,1.460000,-0.113950
147,1.470000,-0.109450
148,1.480000,-0.108950
149,1.490000,-0.103950
150,1.500000,-0.101235
151,1.510000,-0.098950
152,1.520000,-0.096450
153,1.530000,-0.094950
154,1.540000,-0.088450
155,1.550000,-0.084950
156,1.560000,-0.080634
157,1.570000,-0.077950
158,1.580000,-0.073950
159,1.590000,-0.069450
160,1.600000,-0.066950
161,1.610000,-0.062450
162,1.620000,-0.055950
163,1.630000,-0.048854
164,1.640000,-0.045450
165,1.650000,-0.043950
166,1.660000,-0.038450
167,1.670000,-0.037450
168,1.680000,-0.031450
169,1.690000,-0.024318
170,1.700000,-0.017950
171,1.710000,-0.014950
172,1.720000,-0.011450
173,1.730000,-0.007950
174,1.740000,-0.002950
175,1.750000,0.006384
176,1.760000,0.012550
177,1.770000,0.013550
178,1.780000,0.017550
179,1.790000,0.023550
180,1.800000,0.025050
181,1.810000,0.030419
182,1.820000,0.039050
183,1.830000,0.044050
184,1.840000,0.044550
185,1.850000,0.049550
186,1.860000,0.054050
187,1.870000,0.056050
188,1.880000,0.067336
189,1.890000,0.069050
190,1.900000,0.071550
191,1.910000,0.075050
192,1.920000,0.080550
193,1.930000,0.083550
194,1.940000,0.087787
195,1.950000,0.094550
196,1.960000,0.098050
197,1.970000,0.101550
198,1.980000,0.102050
199,1.990000,0.105550
200,2.000000,0.110550
201,2.010000,0.112550
202,2.020000,0.112050
203,2.030000,0.113050
204,2.040000,0.113550
205,2.050000,0.113050
206,2.060000,0.113050
207,2.070000,0.113550
208,2.080000,0.113050
209,2.090000,0.115550
210,2.100000,0.116050
211,2.110000,0.118050
212,2.120000,0.121550
213,2.130000,0.121146
214,2.140000,0.124050
215,2.150000,0.123550
216,2.160000,0.125050
217,2.170000,0.125550
218,2.180000,0.127050
219,2.190000,0.128050
220,2.200000,0.127050
221,2.210000,0.128550
222,2.220000,0.122550
223,2.230000,0.125050
224,2.240000,0.128050
225,2.250000,0.125156
226,2.260000,0.128550
227,2.270000,0.125050
228,2.280000,0.128050
229,2.290000,0.124550
230,2.300000,0.124050
231,2.310000,0.122550
