,time,voltage
0,0.000000,-0.252834
1,0.010000,-0.253834
2,0.020000,-0.251781
3,0.030000,-0.247834
4,0.040000,-0.245834
5,0.050000,-0.244263
6,0.060000,-0.238834
7,0.070000,-0.229676
8,0.080000,-0.227334
9,0.090000,-0.223310
10,0.100000,-0.221834
11,0.110000,-0.215466
12,0.120000,-0.213334
13,0.130000,-0.207834
14,0.140000,-0.199501
15,0.150000,-0.192308
16,0.160000,-0.188834
17,0.170000,-0.183786
18,0.180000,-0.173360
19,0.190000,-0.165691
20,0.200000,-0.159334
21,0.210000,-0.153887
22,0.220000,-0.150929
23,0.230000,-0.135834
24,0.240000,-0.130203
25,0.250000,-0.124739
26,0.260000,-0.121334
27,0.270000,-0.111781
28,0.280000,-0.100453
29,0.290000,-0.093334
30,0.300000,-0.083360
31,0.310000,-0.074739
32,0.320000,-0.066834
33,0.330000,-0.058624
34,0.340000,-0.045215
35,0.350000,-0.038834
36,0.360000,-0.032308
37,0.370000,-0.017834
38,0.380000,-0.010453
39,0.390000,0.000850
40,0.400000,0.011666
41,0.410000,0.017642
42,0.420000,0.025587
43,0.430000,0.035166
44,0.440000,0.046214
45,0.450000,0.050850
46,0.460000,0.058666
47,0.470000,0.075261
48,0.480000,0.081376
49,0.490000,0.087666
50,0.500000,0.097642
51,0.510000,0.105166
52,0.520000,0.111166
53,0.530000,0.116640
54,0.540000,0.117166
55,0.550000,0.117166
56,0.560000,0.122880
57,0.570000,0.128166
58,0.580000,0.137166
59,0.590000,0.146113
60,0.600000,0.148666
61,0.610000,0.155166
62,0.620000,0.164166
63,0.630000,0.170499
64,0.640000,0.177666
65,0.650000,0.181666
66,0.660000,0.187166
67,0.670000,0.193166
68,0.680000,0.197166
69,0.690000,0.206214
70,0.700000,0.207666
71,0.710000,0.212666
72,0.720000,0.217692
73,0.730000,0.224166
74,0.740000,0.228166
75,0.750000,0.237642
76,0.760000,0.236166
77,0.770000,0.238666
78,0.780000,0.240324
79,0.790000,0.242166
80,0.800000,0.243666
81,0.810000,0.243356
82,0.820000,0.246166
83,0.830000,0.245666
84,0.840000,0.245587
85,0.850000,0.245166
86,0.860000,0.245166
87,0.870000,0.244666
88,0.880000,0.244309
89,0.890000,0.242666
90,0.900000,0.240166
91,0.910000,0.241903
92,0.920000,0.238166
93,0.930000,0.237666
94,0.940000,0.237166
95,0.950000,0.232666
96,0.960000,0.235166
97,0.970000,0.229797
98,0.980000,0.220166
99,0.990000,0.218166
100,1.000000,0.215737
101,1.010000,0.209166
102,1.020000,0.208166
103,1.030000,0.206166
104,1.040000,0.195166
105,1.050000,0.186666
106,1.060000,0.185061
107,1.070000,0.179166
108,1.080000,0.176166
109,1.090000,0.170166
110,1.100000,0.159166
111,1.110000,0.152666
112,1.120000,0.148666
113,1.130000,0.142404
114,1.140000,0.134166
115,1.150000,0.126666
116,1.160000,0.120166
117,1.170000,0.117166
118,1.180000,0.117166
119,1.190000,0.115061
120,1.200000,0.110666
121,1.210000,0.104166
122,1.220000,0.094166
123,1.230000,0.087666
124,1.240000,0.079166
125,1.250000,0.068594
126,1.260000,0.065166
127,1.270000,0.053166
128,1.280000,0.047166
129,1.290000,0.041166
130,1.300000,0.028166
131,1.310000,0.020850
132,1.320000,0.014166
133,1.330000,0.004166
134,1.340000,-0.005834
135,1.350000,-0.016334
136,1.360000,-0.020834
137,1.370000,-0.032334
138,1.380000,-0.038548
139,1.390000,-0.045834
140,1.400000,-0.051834
141,1.410000,-0.065334
142,1.420000,-0.074834
143,1.430000,-0.077834
144,1.440000,-0.091781
145,1.450000,-0.095334
146,1.460000,-0.104334
147,1.470000,-0.112834
148,1.480000,-0.121334
149,1.490000,-0.124334
150,1.500000,-0.129977
151,1.510000,-0.135334
152,1.520000,-0.144834
153,1.530000,-0.147834
154,1.540000,-0.153834
155,1.550000,-0.157834
156,1.560000,-0.162308
157,1.570000,-0.169834
158,1.580000,-0.181834
159,1.590000,-0.185334
160,1.600000,-0.189834
161,1.610000,-0.192834
162,1.620000,-0.194834
163,1.630000,-0.197596
164,1.640000,-0.207834
165,1.650000,-0.208834
166,1.660000,-0.214834
167,1.670000,-0.216334
168,1.680000,-0.221334
169,1.690000,-0.222308
170,1.700000,-0.222834
171,1.710000,-0.224834
172,1.720000,-0.224834
173,1.730000,-0.226834
174,1.740000,-0.230834
175,1.750000,-0.229501
176,1.760000,-0.230834
177,1.770000,-0.232334
178,1.780000,-0.232834
179,1.790000,-0.232834
180,1.800000,-0.230834
181,1.810000,-0.232308
182,1.820000,-0.229834
183,1.830000,-0.228834
184,1.840000,-0.227834
185,1.850000,-0.222834
186,1.860000,-0.224834
187,1.870000,-0.225834
188,1.880000,-0.222358
189,1.890000,-0.222334
190,1.900000,-0.219834
191,1.910000,-0.217334
192,1.920000,-0.214334
193,1.930000,-0.213334
194,1.940000,-0.204413
195,1.950000,-0.202834
196,1.960000,-0.196834
197,1.970000,-0.192334
198,1.980000,-0.189834
199,1.990000,-0.187834
200,2.000000,-0.181334
201,2.010000,-0.179834
202,2.020000,-0.164834
203,2.030000,-0.163334
204,2.040000,-0.159834
205,2.050000,-0.154834
206,2.060000,-0.150334
207,2.070000,-0.142834
208,2.080000,-0.135834
209,2.090000,-0.130334
210,2.100000,-0.123334
211,2.110000,-0.120834
212,2.120000,-0.109834
213,2.130000,-0.105691
214,2.140000,-0.097334
215,2.150000,-0.091834
216,2.160000,-0.085834
217,2.170000,-0.074834
218,2.180000,-0.066834
219,2.190000,-0.060334
220,2.200000,-0.050334
221,2.210000,-0.042834
222,2.220000,-0.035834
223,2.230000,-0.029334
224,2.240000,-0.017834
225,2.250000,-0.012834
226,2.260000,-0.002334
227,2.270000,0.005166
228,2.280000,0.016166
229,2.290000,0.021166
230,2.300000,0.023666
231,2.310000,0.038166
232,2.320000,0.046166
233,2.330000,0.049666
234,2.340000,0.055166
235,2.350000,0.065166
236,2.360000,0.074166
237,2.370000,0.079666
238,2.380000,0.085261
239,2.390000,0.096166
240,2.400000,0.105166
241,2.410000,0.108666
242,2.420000,0.113166
243,2.430000,0.116666
244,2.440000,0.117166
245,2.450000,0.118166
246,2.460000,0.117666
247,2.470000,0.121666
248,2.480000,0.124166
249,2.490000,0.129166
250,2.500000,0.141903
251,2.510000,0.144166
252,2.520000,0.148166
253,2.530000,0.151166
254,2.540000,0.155666
255,2.550000,0.161166
256,2.560000,0.169166
257,2.570000,0.173166
258,2.580000,0.177166
